Experiment	BigWig	Tissue
ENCSR022ECC	ENCFF518JCV	renal_cortex_interstitium_female_fetal_96_days
ENCSR026EOM	ENCFF853YZC	brain_female_fetal_85_days
ENCSR033DQS	ENCFF549XKS	muscle_of_leg_male_fetal_97_days
ENCSR033STL	ENCFF256OLK	muscle_of_back_female_fetal_105_days
ENCSR036VRV	ENCFF891ZHF	right_kidney_female_fetal_107_days
ENCSR037PGI	ENCFF400IYO	RCC_7860
ENCSR039ZVQ	ENCFF442GNA	left_renal_cortex_interstitium_male_fetal_120_days
ENCSR040DGJ	ENCFF169DIO	T-cell
ENCSR047FNH	ENCFF298PUD	large_intestine_male_fetal_113_days
ENCSR052AWE	ENCFF379CCW	PC-3
ENCSR059LXL	ENCFF807LXN	muscle_of_leg_male_fetal_96_days
ENCSR060BFU	ENCFF783UAA	adrenal_gland_fetal_96_days
ENCSR062DUU	ENCFF192QWJ	stomach_female_fetal_105_days
ENCSR062DXC	ENCFF013ALJ	muscle_of_arm_female_fetal_115_days
ENCSR064GBK	ENCFF180AVL	heart_female_fetal_91_day
ENCSR066WZJ	ENCFF294IOW	kidney_fetal_80_days
ENCSR067XUN	ENCFF822EIY	skin_fibroblast_male_fetal_97_days
ENCSR072NBR	ENCFF764RAB	muscle_of_back_female_fetal_98_days
ENCSR076YBB	ENCFF182MTK	lung_male_fetal_108_days
ENCSR080PZL	ENCFF600BCZ	adrenal_gland_male_fetal_101_day
ENCSR082JCE	ENCFF929VWD	kidney_female_fetal_121_day
ENCSR082XEU	ENCFF650ELS	stomach_female_fetal_107_days
ENCSR083FBK	ENCFF927ZYU	small_intestine_female_fetal_110_days
ENCSR083STA	ENCFF252OBW	MG63
ENCSR092OFK	ENCFF024REE	skin_of_body_female_fetal_82_days
ENCSR092WMD	ENCFF759ZRU	left_renal_cortex_interstitium_male_fetal_105_days
ENCSR095GWE	ENCFF741FYD	stomach_male_fetal_58_days_and_male_fetal_76_days
ENCSR097BWW	ENCFF612OPD	left_kidney_female_fetal_59_days_and_male_fetal_91_day
ENCSR098PTC	ENCFF722FKK	hematopoietic_multipotent_progenitor_cell_male_adult_25_years_treated_with_interleukin-3_kit_ligand_hydrocortisone_succinate_erythropoietin
ENCSR106OKX	ENCFF430OBS	kidney_female_fetal_120_days
ENCSR106RBR	ENCFF148TIJ	muscle_of_back_female_fetal_115_days
ENCSR116WWW	ENCFF672HUK	small_intestine_female_fetal_120_days
ENCSR118WIQ	ENCFF943YKA	brain_fetal_112_days
ENCSR119HXE	ENCFF735TUG	stomach_female_fetal_105_days
ENCSR120LVW	ENCFF070MEV	left_kidney_female_fetal_98_days
ENCSR121ZSL	ENCFF366HDI	trophoblast_cell_fetal_21_week
ENCSR122VUW	ENCFF839PFW	common_myeloid_progenitorCD34-positive_female_adult_27_years
ENCSR127PWK	ENCFF436HXX	eye_female_fetal_76_days
ENCSR129KIV	ENCFF635CPU	renal_cortex_interstitium_male_fetal_108_days
ENCSR129TSG	ENCFF454SXV	placenta_female_fetal_108_days
ENCSR133KBX	ENCFF765EPA	small_intestine_female_fetal_107_days
ENCSR133SPH	ENCFF336HTZ	large_intestine_female_fetal_120_days
ENCSR141DMX	ENCFF296GUK	renal_pelvis_female_fetal_96_days
ENCSR141NSQ	ENCFF114NAE	muscle_of_back_male_fetal_104_days
ENCSR141VGA	ENCFF282YJV	lung_female_fetal_85_days
ENCSR148MFM	ENCFF237IUQ	spinal_cord_male_fetal_105_days
ENCSR148VUP	ENCFF466HDP	hematopoietic_multipotent_progenitor_cell_male_adult_25_years_treated_with_interleukin-3_kit_ligand_hydrocortisone_succinate_erythropoietin
ENCSR149XIL	ENCFF646UXG	HepG2
ENCSR154YPL	ENCFF373XQR	large_intestine_female_fetal_110_days
ENCSR154ZNQ	ENCFF233TQO	heart_female_fetal_105_days
ENCSR155NPL	ENCFF475PBR	renal_cortex_interstitium_male_fetal_113_days
ENCSR156CLC	ENCFF339ZTD	brain_female_fetal_96_days
ENCSR158VAT	ENCFF822UFJ	thyroid_gland_male_adult_37_years
ENCSR164PQJ	ENCFF546TWP	thymus_male_fetal_127_days
ENCSR166TEE	ENCFF082JFC	forelimb_muscle_female_fetal_108_days
ENCSR167XSQ	ENCFF620NZM	muscle_of_leg_male_fetal_101_day
ENCSR171ETY	ENCFF561OES	gastrocnemius_medialis_male_adult_54_years
ENCSR172PVJ	ENCFF557DHP	stomach_male_fetal_91_day
ENCSR174GXG	ENCFF636UWK	muscle_of_back_male_fetal_101_day
ENCSR174JMM	ENCFF551UPK	heart_female_fetal_117_days
ENCSR174TIP	ENCFF354ZKN	right_lobe_of_liver_female_adult_53_years
ENCSR176KYD	ENCFF249IHA	fibroblast_of_skin_of_abdomen_male_fetal_97_days
ENCSR178JBL	ENCFF050KUK	pancreas_male_adult_34_years
ENCSR179CDH	ENCFF211RCD	trophoblast_cell_male_embryo
ENCSR184DFF	ENCFF691AFX	left_kidney_male_fetal_96_days
ENCSR187PYY	ENCFF563ZCA	brain_female_fetal_142_days
ENCSR188JLO	ENCFF842TMT	small_intestine_male_fetal_105_days
ENCSR189YJQ	ENCFF283QCW	heart_female_fetal_110_days
ENCSR191FOV	ENCFF332HYA	adrenal_gland_male_adult_37_years
ENCSR193LYA	ENCFF692JAU	muscle_of_back_female_fetal_85_days
ENCSR198JXW	ENCFF156MPZ	muscle_of_leg_female_fetal_85_days
ENCSR207TUX	ENCFF134EIM	amniotic_stem_cell
ENCSR208DMX	ENCFF558GXR	stomach_female_fetal_98_days
ENCSR214QEO	ENCFF310HSN	large_intestine_female_fetal_91_day
ENCSR214XJO	ENCFF496EOT	lung_female_fetal_120_days
ENCSR217SET	ENCFF972ROX	SW480
ENCSR217TAW	ENCFF785WSP	fibroblast_of_arm_male_adult_53_years
ENCSR217YRJ	ENCFF789MBK	muscle_of_trunk_female_fetal_120_days
ENCSR224IYD	ENCFF690VOB	medulla_oblongata_male_adult_78_years_and_male_adult_84_years
