Experiment	BigWig	Tissue
ENCSR164GGZ	ENCFF383EUX	mesenchymal_stem_in_vitro_differentiated_cells_H1_derived
ENCSR880UFN	ENCFF750XQE	mesendoderm_in_vitro_differentiated_cells
ENCSR153XET	ENCFF002USO	mesodermal_in_vitro_differentiated_cells
ENCSR528DQE	ENCFF628UJF	middle_frontal_area_46_tissue_male_adult_81_year
ENCSR758OEC	ENCFF305ARC	MM.1S
ENCSR279UVL	ENCFF309CUV	mucosa_of_rectum_tissue_female_adult_50_years
ENCSR550WKF	ENCFF589AAI	mucosa_of_rectum_tissue_female_adult_61_year
ENCSR215SBU	ENCFF941IYY	muscle_layer_of_colon_tissue_female_adult_77_years
ENCSR184RXX	ENCFF196BHB	muscle_layer_of_duodenum_tissue_male
ENCSR820MXK	ENCFF279IAA	muscle_of_leg_tissue_female_fetal_110_days
ENCSR827BTK	ENCFF307REJ	muscle_of_trunk_tissue_female_fetal_121_day
ENCSR000ANV	ENCFF000BOL	myotube_in_vitro_differentiated_cells
ENCSR269OKX	ENCFF814VKT	natural_killer_primary_cell_male_adult_21_year
ENCSR124VOE	ENCFF718CNN	neural_cell
ENCSR449AXO	ENCFF533OFX	neural_progenitor_cell_derived_from_H9
ENCSR842NGQ	ENCFF821BBY	neuroepithelial_stem_cell_stably_expressing_fusion_protein
ENCSR539JGB	ENCFF635FIJ	neuronal_stem_in_vitro_differentiated_cells_H1_derived
ENCSR267YXV	ENCFF066BUP	neutrophil
ENCSR857GMX	ENCFF109YKY	OCI-LY3
ENCSR447ZGY	ENCFF854ACC	OCI-LY7
ENCSR000APH	ENCFF000CVK	osteoblast_primary_cell
ENCSR000EXK	ENCFF000VJJ	Panc1_immortalized_cell_line
ENCSR005DUS	ENCFF183QVV	pancreas_tissue_male_adult_34_years
ENCSR826UTD	ENCFF792XEZ	PC-3
ENCSR841LMD	ENCFF482UFG	peripheral_blood_mononuclear_primary_cell_female_adult_28_years
ENCSR227QNS	ENCFF591EVP	placenta_tissue_female_fetal_108_days
ENCSR701EOS	ENCFF549BCD	psoas_muscle_tissue_male_adult_34_years
ENCSR755PXK	ENCFF282PSN	rectal_smooth_muscle_tissue_female_adult_50_years
ENCSR981UJA	ENCFF599LSB	right_lobe_of_liver_female_adult_53_years
ENCSR751IJU	ENCFF835DXR	right_cardiac_atrium_tissue_male_adult_34_years
ENCSR752LMU	ENCFF468WFJ	sigmoid_colon_tissue_male_adult_34_years
ENCSR835MMN	ENCFF921GJR	SK-N-MC
ENCSR564IGJ	ENCFF712CGL	SK-N-SH
ENCSR000ANF	ENCFF000BLA	skeletal_muscle_myoblast_primary_cell_NONE_and_male_adult_22_years
ENCSR693KKR	ENCFF865KCY	skeletal_muscle_tissue_female_adult_72_years
ENCSR561OQA	ENCFF854TXV	small_intestine_tissue_male_adult_34_years
ENCSR993QER	ENCFF546LQG	small_intestine_tissue_male_fetal_108_days
ENCSR210ZPC	ENCFF162KWR	smooth_muscle_cell_derived_from_H9
ENCSR857MYG	ENCFF012XIR	spleen_tissue_male_adult_34_years
ENCSR774NDT	ENCFF226KHW	stomach_smooth_muscle_tissue_female_adult_84_years
ENCSR400ILZ	ENCFF056SIE	stomach_tissue_fetal_101_day
ENCSR255LYV	ENCFF542HWW	stomach_tissue_male_adult_34_years
ENCSR734BGD	ENCFF381VTZ	subcutaneous_abdominal_adipose_tissue_nuclear_fraction_female_adult_49_years
ENCSR374BLY	ENCFF451JYD	substantia_nigra_tissue_male_adult_81_year
ENCSR108WMA	ENCFF608TNF	T-cell_primary_cell_male_adult_37_years
ENCSR234PGX	ENCFF076RSU	temporal_lobe_tissue_female_adult_75_years
ENCSR015GFK	ENCFF772QFT	thoracic_aorta_male_adult_37_years
ENCSR920VBY	ENCFF819RUM	thymus_tissue_female_fetal_98_days
ENCSR521POX	ENCFF531UTJ	thymus_tissue_male_child_3_years
ENCSR597BWL	ENCFF125PJA	thyroid_gland_male_adult_37_years
ENCSR203KCB	ENCFF062GEM	thyroid_gland_male_adult_54_years
ENCSR297HCQ	ENCFF555JVO	trophoblast_primary_cell_male_embryo
ENCSR718BTD	ENCFF941EJE	vagina_female_adult_53_years
