Experiment	BigWig	Tissue
ENCSR477RTP	ENCFF125FGY	IMR-90 female fetal (16 weeks)
ENCSR004SUL	ENCFF274RJV	induced pluripotent stem cell male adult (53 years) derived from fibroblast of arm
ENCSR004SUL	ENCFF297DLE	induced pluripotent stem cell male adult (53 years) derived from fibroblast of arm
ENCSR986YWZ	ENCFF191XJF	inferior parietal cortex male adult (84 years)
ENCSR383SNM	ENCFF752WEM	iPS DF 19.11 male newborn
ENCSR440QMR	ENCFF196MPR	iPS DF 19.7 male newborn
ENCSR014FPY	ENCFF195HCD	iPS DF 4.7 male newborn
ENCSR261SMF	ENCFF532UDK	iPS DF 6.9 male newborn
ENCSR000EOS	ENCFF013XEB	Jurkat clone E61
ENCSR000EOS	ENCFF525JPO	Jurkat clone E61
ENCSR000EPC	ENCFF848ZCQ	K562
ENCSR000EPC	ENCFF068ZVJ	K562
ENCSR019JDO	ENCFF277BDT	Karpas-422
ENCSR019JDO	ENCFF519NOX	Karpas-422
ENCSR426IEA	ENCFF696TPP	KBM-7
ENCSR426IEA	ENCFF387COX	KBM-7
ENCSR000EPQ	ENCFF089HVJ	keratinocyte female
ENCSR000EPQ	ENCFF984EIQ	keratinocyte female
ENCSR106OKX	ENCFF274VYX	kidney female fetal (120 days)
ENCSR941DTJ	ENCFF696IGL	kidney female fetal (108 days)
ENCSR979BPU	ENCFF145BNE	kidney female fetal (82 days)
ENCSR262QJC	ENCFF444XQK	kidney male fetal (87 days)
ENCSR645GJD	ENCFF443EVV	kidney female fetal (113 days)
ENCSR437KLY	ENCFF241EII	kidney female fetal (85 days)
ENCSR082JCE	ENCFF616EPX	kidney female fetal (121 day)
ENCSR527PAX	ENCFF034VNG	kidney female fetal (113 days)
ENCSR499PZA	ENCFF810VVX	kidney male fetal (105 days)
ENCSR757EPJ	ENCFF705LTB	kidney male fetal (85 days)
ENCSR953JVX	ENCFF363CHE	kidney female fetal (105 days)
ENCSR066WZJ	ENCFF164JGM	kidney fetal (80 days)
ENCSR000EOL	ENCFF519MIC	kidney epithelial cell
ENCSR000EOL	ENCFF437ALV	kidney epithelial cell
ENCSR314EZY	ENCFF007HYJ	L1-S8
ENCSR314EZY	ENCFF458QOG	L1-S8
ENCSR746ZPP	ENCFF139DDC	L1-S8R
ENCSR746ZPP	ENCFF700EEC	L1-S8R
ENCSR531HPD	ENCFF671OXB	large intestine male fetal (105 days)
ENCSR762FCX	ENCFF994OCD	large intestine male fetal (91 day)
ENCSR047FNH	ENCFF988AIH	large intestine male fetal (113 days)
ENCSR857AEB	ENCFF993HTO	large intestine male fetal (108 days)
ENCSR796SJV	ENCFF886YAL	large intestine female fetal (98 days)
ENCSR962MFI	ENCFF366UUX	large intestine female fetal (85 days)
ENCSR214QEO	ENCFF549PFO	large intestine female fetal (91 day)
ENCSR666YVE	ENCFF664EGU	large intestine male fetal (105 days)
ENCSR444VTC	ENCFF664DBA	large intestine female fetal (105 days)
ENCSR133SPH	ENCFF012XTC	large intestine female fetal (120 days)
ENCSR366EQH	ENCFF223JXX	large intestine male fetal (115 days)
ENCSR800QGE	ENCFF881BVQ	large intestine female fetal (103 days)
ENCSR563XRP	ENCFF623QIP	large intestine female fetal (107 days)
ENCSR874CAK	ENCFF880PBK	large intestine female fetal (108 days)
ENCSR154YPL	ENCFF906ADL	large intestine female fetal (110 days)
ENCSR184DFF	ENCFF812BQU	left kidney male fetal (96 days)
ENCSR120LVW	ENCFF129WZU	left kidney female fetal (98 days)
ENCSR543YPH	ENCFF880SCV	left kidney male fetal (115 days)
ENCSR097BWW	ENCFF221VFW	left kidney female fetal (59 days) and male fetal (91 day)
ENCSR097BWW	ENCFF423ISR	left kidney female fetal (59 days) and male fetal (91 day)
ENCSR600RAA	ENCFF601TAR	left kidney male fetal (87 days)
ENCSR974TXT	ENCFF878JNP	left kidney female fetal (110 days)
ENCSR953XJU	ENCFF409HQB	left kidney female fetal (107 days)
ENCSR295DUI	ENCFF502YNF	left kidney female fetal (87 days)
ENCSR422PVL	ENCFF815BWK	left kidney female fetal (147 days)
ENCSR456KDF	ENCFF710EKR	left lung female fetal (108 days)
ENCSR680SDS	ENCFF180SVO	left lung female fetal (107 days)
ENCSR510ITB	ENCFF719HZS	left lung male fetal (91 day)
ENCSR960EJV	ENCFF786QSZ	left lung female fetal (110 days)
ENCSR639XWF	ENCFF111DAO	left lung male fetal (96 days)
ENCSR488PHT	ENCFF107GKA	left lung male fetal (113 days)
ENCSR468OVW	ENCFF222TDS	left lung female fetal (105 days)
ENCSR935EVZ	ENCFF199HXB	left lung male fetal (115 days)
ENCSR803VCR	ENCFF223VFF	left lung female fetal (91 day)
ENCSR006XED	ENCFF934CEH	left lung female fetal (98 days)
ENCSR541AVF	ENCFF681ANT	left lung female fetal (117 days)
ENCSR441OGH	ENCFF467VDD	left lung male fetal (87 days)
ENCSR953WJO	ENCFF517JZW	left lung male fetal (105 days)
ENCSR928SYE	ENCFF102MFI	left renal cortex interstitium male fetal (105 days)
ENCSR588JXI	ENCFF565KLE	left renal cortex interstitium male fetal (105 days)
ENCSR039ZVQ	ENCFF004VQM	left renal cortex interstitium male fetal (120 days)
ENCSR092WMD	ENCFF671MFT	left renal cortex interstitium male fetal (105 days)
ENCSR318JAA	ENCFF378QXH	left renal pelvis male fetal (105 days)
ENCSR016THC	ENCFF276OPY	left renal pelvis male fetal (105 days)
ENCSR258IBL	ENCFF476RSI	left renal pelvis male fetal (105 days)
ENCSR320SVK	ENCFF195JUM	left renal pelvis male fetal (120 days)
ENCSR532CRI	ENCFF682YKZ	limb fetal (58 days) and fetal (59 days)
ENCSR532CRI	ENCFF377CSO	limb fetal (58 days) and fetal (59 days)
ENCSR818JGZ	ENCFF817TLL	limb fetal (53 days) and fetal (56 days)
ENCSR818JGZ	ENCFF840FNP	limb fetal (53 days) and fetal (56 days)
ENCSR000EPF	ENCFF703FKO	LNCaP clone FGC
ENCSR000EPF	ENCFF271OFD	LNCaP clone FGC
ENCSR503BEM	ENCFF628XUH	LoVo
ENCSR503BEM	ENCFF299KHL	LoVo
ENCSR582IPV	ENCFF866LKD	lung fetal (80 days) and male fetal (76 days)
ENCSR582IPV	ENCFF422PXQ	lung fetal (80 days) and male fetal (76 days)
ENCSR214XJO	ENCFF217XOC	lung female fetal (120 days)
ENCSR847RSJ	ENCFF915WMB	lung female fetal (96 days)
ENCSR587HPR	ENCFF013WBJ	lung male fetal (82 days)
ENCSR318WOD	ENCFF456LSV	lung male fetal (103 days)
ENCSR006IJP	ENCFF425JLV	lung fetal (112 days)
ENCSR141VGA	ENCFF098PYA	lung female fetal (85 days)
ENCSR482HQE	ENCFF254TFP	lung female fetal (108 days)
ENCSR076YBB	ENCFF601AVI	lung male fetal (108 days)
ENCSR986XLW	ENCFF498SJM	lung fetal (101 day)
ENCSR504KZE	ENCFF206NXX	lung fetal (67 days)
ENCSR000ENV	ENCFF936ZXO	mammary epithelial cell female
ENCSR000ENV	ENCFF493SYG	mammary epithelial cell female
ENCSR000EPH	ENCFF841CUS	MCF-7
ENCSR000EPH	ENCFF400DJF	MCF-7
ENCSR000EPJ	ENCFF152HGY	MCF-7
ENCSR000EPJ	ENCFF718QVA	MCF-7
ENCSR000EPI	ENCFF257TXQ	MCF-7 treated with estradiol
ENCSR000EPI	ENCFF835OLW	MCF-7 treated with estradiol
ENCSR224IYD	ENCFF939VQK	medulla oblongata male adult (78 years) and male adult (84 years)
ENCSR224IYD	ENCFF234WHQ	medulla oblongata male adult (78 years) and male adult (84 years)
ENCSR083STA	ENCFF121POU	MG63
ENCSR083STA	ENCFF049MBS	MG63
ENCSR706IDL	ENCFF877USU	midbrain male adult (78 years) and male adult (84 years)
ENCSR706IDL	ENCFF398NMN	midbrain male adult (78 years) and male adult (84 years)
ENCSR318PRQ	ENCFF853VLZ	middle frontal gyrus male adult (78 years)
ENCSR318PRQ	ENCFF889NRF	middle frontal gyrus male adult (78 years)
ENCSR458LIB	ENCFF321IOL	MM.1S
ENCSR458LIB	ENCFF253UVX	MM.1S
ENCSR956NOL	ENCFF763MFY	muscle of arm male fetal (127 days)
ENCSR357PMV	ENCFF941MXZ	muscle of arm female fetal (120 days)
ENCSR826ERZ	ENCFF112YET	muscle of arm fetal (101 day)
ENCSR309YDN	ENCFF144MZT	muscle of arm female fetal (85 days)
ENCSR517NHP	ENCFF747WCT	muscle of arm female fetal (105 days)
ENCSR888GBS	ENCFF440DXT	muscle of arm male fetal (96 days)
ENCSR303YII	ENCFF457XWP	muscle of arm male fetal (96 days)
ENCSR753QKD	ENCFF836TVC	muscle of arm female fetal (98 days)
