Experiment	BigWig	Tissue
ENCSR672ZXY	ENCFF961KLD	C57BL-6_midbrain_postnatal_0_days
ENCSR531RZS	ENCFF422NJA	C57BL-6_neural_tube_embryo_11.5_days
ENCSR891SAW	ENCFF704GSX	C57BL-6_neural_tube_embryo_12.5_days
ENCSR289SWJ	ENCFF066PYN	C57BL-6_neural_tube_embryo_13.5_days
ENCSR265NBM	ENCFF494OOQ	C57BL-6_neural_tube_embryo_14.5_days
ENCSR241BSK	ENCFF789UMC	C57BL-6_neural_tube_embryo_15.5_days
ENCSR000CCE	ENCFF669DNL	C57BL-6_olfactory_bulb_male_adult_8_weeks
ENCSR000CDO	ENCFF924IWW	C57BL-6_placenta_female_adult_8_weeks
ENCSR000CCQ	ENCFF212SMS	C57BL-6_small_intestine_male_adult_8_weeks
ENCSR000CDJ	ENCFF767PYS	C57BL-6_spleen_male_adult_8_weeks
ENCSR316CNR	ENCFF036PPT	C57BL-6_stomach_embryo_14.5_days
ENCSR929SEW	ENCFF604BOY	C57BL-6_stomach_embryo_15.5_days
ENCSR546ANT	ENCFF069OMF	C57BL-6_stomach_embryo_16.5_days
ENCSR000CCU	ENCFF572JFH	C57BL-6_testis_male_adult_8_weeks
ENCSR000CCH	ENCFF354DWX	C57BL-6_thymus_male_adult_8_weeks
ENCSR000CEV	ENCFF414TDD	DBA-2_MEL_cell_line
