Experiment	BigWig	Tissue
ENCSR000DUZ	ENCFF001FPC	fibroblast_of_pulmonary_artery_primary_cell
ENCSR000DPX	ENCFF001EPH	fibroblast_of_skin_abdomen_primary_cell_male_adult_22_years
ENCSR000DQA	ENCFF001EPU	fibroblast_of_the_aortic_adventitia_primary_cell_female
ENCSR000DPI	ENCFF001EMH	fibroblast_of_upper_leg_skin_primary_cell_male_fetal_12_weeks
ENCSR000DVS	ENCFF001FTB	fibroblast_of_villous_mesenchyme_primary_cell
ENCSR856EKB	ENCFF586DIY	foreskin_fibroblast_primary_cell_male_newborn_1
ENCSR403RCR	ENCFF988YJT	foreskin_fibroblast_primary_cell_male_newborn_2
ENCSR000DUJ	ENCFF001FMK	foreskin_fibroblast_primary_cell_male_postnatal
ENCSR061FSC	ENCFF138RRT	foreskin_keratinocyte_primary_cell_male_newborn_2
ENCSR695BUY	ENCFF339FYG	foreskin_keratinocyte_primary_cell_male_newborn_3
ENCSR918YMF	ENCFF337ZNT	foreskin_melanocyte_primary_cell_male_newborn_1
ENCSR952ERW	ENCFF582UXX	foreskin_melanocyte_primary_cell_male_newborn_3
ENCSR370JPV	ENCFF150AIE	ganglionic_eminence_derived_neurospheres_primary_cell_female_fetal_17_weeks
ENCSR206STN	ENCFF794TDN	gastrocnemius_medialis_male_adult_37_years
ENCSR972ETR	ENCFF596MDR	gastrocnemius_medialis_male_adult_54_years
ENCSR510NXV	ENCFF700TUA	gastroesophageal_sphincter_female_adult_53_years
ENCSR557OQA	ENCFF230KFJ	germinal_matrix_tissue_male_fetal_20_weeks
ENCSR000DQV	ENCFF001EUW	GM06990_immortalized_cell_line
ENCSR000DQZ	ENCFF974YBO	GM12864
ENCSR000DQZ	ENCFF001EVL	GM12864_immortalized_cell_line
ENCSR000DRC	ENCFF072UAX	GM12865
ENCSR000DRC	ENCFF001EWB	GM12865_immortalized_cell_line
ENCSR057BWO	ENCFF818GNV	GM12878
ENCSR814XPE	ENCFF347APS	H1-hESC
ENCSR000DSR	ENCFF282VLR	H7-hESC
ENCSR716ZJH	ENCFF525CGJ	H9_stably_expressing_fusion_protein
ENCSR673EAQ	ENCFF150LYQ	H9_stem_cell
ENCSR333OPW	ENCFF859AQD	HCT116
ENCSR631XRW	ENCFF701SLI	heart_left_ventricle_tissue_male_child_3_years
ENCSR015MPL	ENCFF565NKN	heart_right_ventricle_tissue_male_adult_34_years
ENCSR460NNH	ENCFF316LYX	heart_tissue_fetal_101_day
ENCSR340WQU	ENCFF045NNJ	HeLa-S3
ENCSR043WJN	ENCFF133IKA	HeLa-S3_immortalized_cell_line
ENCSR000DUA	ENCFF001FKU	HeLa-S3_immortalized_cell_line_G1b_phase
ENCSR442ZOI	ENCFF634XSS	hepatocyte_derived_from_H9
ENCSR134DWG	ENCFF822KCS	HepG2_immortalized_cell_line
ENCSR000DUK	ENCFF001FMV	HFF-Myc_immortalized_cell_line_derived_from_foreskin_fibroblast
ENCSR000DUO	ENCFF852VFY	HL-60
ENCSR957XLJ	ENCFF704HGZ	HUES48_stem_cell
ENCSR430AFL	ENCFF768APJ	HUES6_stem_cell
ENCSR909ZPT	ENCFF955YDL	HUES64_stem_cell
ENCSR596VTT	ENCFF274SSA	IMR-90_immortalized_cell_line
ENCSR589ATA	ENCFF430FXT	iPS_DF_19-11_induced_pluripotent_stem_cell_line_male_newborn
ENCSR048ZTL	ENCFF970JMO	iPS_DF_6-9_induced_pluripotent_stem_cell_line_male_newborn
ENCSR324DSC	ENCFF877SBN	iPS-15b_induced_pluripotent_stem_cell_line_female
ENCSR677MBX	ENCFF360WEN	iPS-18c_induced_pluripotent_stem_cell_line_female
ENCSR618QCB	ENCFF613OJI	iPS-20b_induced_pluripotent_stem_cell_line_male
ENCSR000DVU	ENCFF001FTP	Jurkat_immortalized_cell_line
ENCSR668LDD	ENCFF689TMV	K562
ENCSR910XKX	ENCFF086WSJ	Karpas-422
ENCSR000DWV	ENCFF511EHA	keratinocyte_female
ENCSR970FPM	ENCFF104ABN	keratinocyte_female
ENCSR000DWV	ENCFF001GAK	keratinocyte_primary_cell_female
ENCSR628CIH	ENCFF786SZF	keratinocyte_primary_cell_female_and_male
ENCSR000DVG	ENCFF001FQU	kidney_epithelial_primary_cell
ENCSR046MDU	ENCFF956BEP	kidney_tissue_female_fetal_120_days
ENCSR020SIU	ENCFF198XAL	large_intestine_tissue_male_fetal_108_days
ENCSR114GMF	ENCFF882XPQ	layer_of_hippocampus_tissue_male_adult_73_years
ENCSR000FYQ	ENCFF239JOR	liver_tissue_male_adult_31_year
ENCSR000DWF	ENCFF001FXI	LNCaP_clone_FGC_immortalized_cell_line
ENCSR657RRI	ENCFF103TXQ	Loucy
ENCSR618CDZ	ENCFF206HHS	lung_tissue_female_adult_30_years
ENCSR465WKM	ENCFF239TOK	lung_tissue_female_fetal_85_days
ENCSR016JWS	ENCFF176QON	mammary_epithelial_cell_female_50_years
ENCSR000DUQ	ENCFF001FOA	mammary_epithelial_primary_cell_female
ENCSR044VTN	ENCFF938AHY	mammary_epithelial_primary_cell_female_adult_18_years
ENCSR978OBA	ENCFF271BOO	mammary_epithelial_primary_cell_female_and_female_50_years
ENCSR985MIB	ENCFF783ZIE	MCF-7
ENCSR000DWJ	ENCFF001FXW	MCF-7_immortalized_cell_line
ENCSR012JBT	ENCFF890RER	mesenchymal_stem_in_vitro_differentiated_cells_bone_marrow_derived
ENCSR164GGZ	ENCFF092HPB	mesenchymal_stem_in_vitro_differentiated_cells_H1_derived
ENCSR880UFN	ENCFF299ZCY	mesendoderm_in_vitro_differentiated_cells
ENCSR153XET	ENCFF402NGI	mesodermal_in_vitro_differentiated_cells
ENCSR528DQE	ENCFF819RVG	middle_frontal_area_46_tissue_male_adult_81_year
ENCSR361FWQ	ENCFF386VHL	MM.1S
ENCSR000EXT	ENCFF670ZAF	mononuclear_cell_male
ENCSR279UVL	ENCFF240RUK	mucosa_of_rectum_tissue_female_adult_50_years
ENCSR550WKF	ENCFF785WNN	mucosa_of_rectum_tissue_female_adult_61_year
ENCSR219RIN	ENCFF814AHD	mucosa_of_stomach_tissue_male_adult_59_years
ENCSR215SBU	ENCFF037EOE	muscle_layer_of_colon_tissue_female_adult_77_years
ENCSR184RXX	ENCFF283TST	muscle_layer_of_duodenum_tissue_male
